aX,aY,aZ,gX,gY,gZ
-1.296,2.168,0.684,19.836,-279.358,-369.263
-1.233,2.196,0.921,12.024,-271.606,-394.958
-1.300,2.203,1.179,10.132,-265.503,-433.838
-1.560,2.111,1.446,22.522,-260.132,-484.619
-1.920,1.855,1.681,56.824,-253.174,-542.786
-2.281,1.526,1.772,98.389,-240.601,-600.281
-2.499,1.086,1.707,136.841,-220.703,-645.264
-2.571,0.660,1.644,147.461,-198.242,-673.706
-2.527,0.423,1.657,124.390,-178.345,-682.495
-2.671,0.337,1.597,89.355,-159.607,-674.072
-2.641,0.409,1.541,49.744,-140.991,-663.818
-2.800,0.340,1.409,35.706,-126.709,-655.334
-2.987,-0.037,1.409,22.766,-121.155,-651.428
-3.141,-0.724,1.519,-0.549,-118.042,-645.874
-3.013,-1.456,1.644,-24.048,-106.262,-626.404
-2.283,-2.001,1.663,-35.156,-87.952,-582.458
-1.880,-2.617,1.502,-4.395,-69.946,-506.104
-1.513,-2.797,1.359,14.221,-56.580,-410.034
-1.153,-2.709,1.230,17.517,-50.964,-308.716
-0.943,-2.472,1.109,20.569,-50.232,-211.426
-0.802,-2.111,1.016,9.399,-48.584,-126.587
-0.636,-1.709,0.917,-18.555,-44.434,-57.922
-0.370,-1.265,0.814,-52.979,-41.138,-5.310
-0.107,-0.775,0.828,-79.224,-43.457,34.790
0.067,-0.317,0.955,-83.984,-53.650,64.209
0.115,0.089,1.127,-64.758,-67.261,79.529
0.155,0.361,1.284,-31.006,-75.684,79.834
0.205,0.492,1.395,-0.793,-74.158,68.359
0.242,0.533,1.475,14.648,-60.974,49.988
0.301,0.511,1.503,20.264,-39.917,31.311
0.363,0.427,1.466,23.743,-15.564,17.273
0.384,0.329,1.308,26.978,8.728,9.766
0.418,0.209,1.099,28.015,31.189,9.888
0.446,0.140,0.879,16.785,48.950,15.991
0.469,0.135,0.676,-7.324,61.523,24.719
0.504,0.205,0.544,-35.034,68.298,33.447
0.539,0.295,0.472,-52.673,67.871,39.368
0.557,0.345,0.427,-54.810,60.364,41.382
0.574,0.409,0.449,-47.363,47.546,40.039
0.581,0.420,0.483,-30.273,32.715,38.025
0.613,0.465,0.540,-14.099,17.273,36.499
0.626,0.527,0.627,0.244,3.296,34.668
0.613,0.583,0.720,14.771,-7.263,31.921
0.594,0.595,0.793,28.137,-12.695,28.625
0.546,0.568,0.818,34.729,-11.658,24.780
0.513,0.537,0.800,27.527,-5.432,19.775
0.535,0.493,0.785,11.963,3.174,15.076
0.561,0.437,0.775,-2.502,10.132,11.658
