aX,aY,aZ,gX,gY,gZ
-0.003,-0.750,0.959,39.185,-16.846,-41.138
-0.001,-0.549,0.993,12.756,-14.893,-6.775
0.026,-0.225,1.027,-9.460,-11.108,19.653
0.080,-0.008,0.986,-14.832,-5.798,37.659
0.134,0.246,0.929,-14.648,-3.235,47.119
0.146,0.474,0.895,-11.475,-4.639,48.035
0.130,0.631,0.897,-3.479,-9.338,40.771
0.114,0.701,0.944,4.944,-14.648,26.245
0.094,0.697,1.017,11.658,-18.188,7.019
0.108,0.565,1.076,19.165,-18.005,-12.207
0.140,0.356,1.101,26.855,-14.404,-28.503
0.162,0.193,1.097,27.405,-8.850,-36.377
0.193,0.065,1.078,23.926,-3.601,-34.119
0.221,0.001,1.060,15.198,1.526,-24.353
0.202,0.036,1.045,2.747,6.836,-11.230
0.171,0.139,1.032,-6.287,12.390,0.977
0.146,0.229,1.014,-12.207,16.235,9.644
0.122,0.300,0.990,-15.320,18.677,11.719
0.117,0.347,0.943,-13.672,20.264,8.728
0.115,0.370,0.873,-5.493,19.836,3.601
0.150,0.353,0.790,2.014,16.296,-1.465
0.181,0.274,0.747,8.911,9.766,-5.005
0.188,0.250,0.775,8.240,1.770,-7.874
0.208,0.225,0.820,6.653,-4.333,-8.057
0.209,0.211,0.869,8.484,-7.751,-5.249
0.190,0.226,0.928,7.446,-9.949,-2.991
0.186,0.231,0.981,5.371,-10.071,-1.160
0.182,0.236,1.037,4.944,-8.362,0.061
0.161,0.209,1.077,5.920,-5.676,0.000
0.165,0.193,1.077,8.179,-2.075,-0.244
0.176,0.184,1.025,10.864,2.991,0.549
0.184,0.203,0.975,9.094,6.897,3.357
0.189,0.240,0.941,4.395,8.484,6.409
0.199,0.272,0.918,0.977,8.484,8.118
0.197,0.300,0.897,0.000,7.751,7.812
0.177,0.317,0.866,1.648,6.897,5.798
0.176,0.300,0.833,4.639,5.310,2.869
0.180,0.269,0.821,5.859,2.563,-0.183
0.181,0.231,0.838,6.042,-0.916,-2.869
0.183,0.176,0.866,8.667,-3.967,-3.540
0.193,0.148,0.907,11.292,-6.042,-2.747
0.196,0.135,0.937,14.465,-7.385,-0.061
0.197,0.151,0.965,14.343,-6.775,3.845

-0.417,-0.896,1.575,-19.531,49.377,99.426
-0.448,-0.995,1.619,-16.663,63.660,122.192
-0.503,-1.025,1.599,-14.526,79.590,147.583
-0.552,-1.035,1.546,-11.902,95.764,174.377
-0.587,-1.017,1.472,-11.230,109.497,200.623
-0.601,-0.968,1.412,-9.216,119.019,225.159
-0.659,-0.908,1.408,-2.014,124.939,248.291
-0.722,-0.866,1.403,9.216,127.930,269.592
-0.781,-0.849,1.393,18.921,130.493,288.391
-0.861,-0.820,1.381,24.231,135.254,306.824
-0.937,-0.827,1.342,21.057,141.541,325.684
-1.024,-0.838,1.303,6.226,149.292,345.093
-1.065,-0.775,1.250,-11.169,157.654,366.028
-1.140,-0.628,1.125,-16.724,165.710,389.526
-1.216,-0.428,0.942,-9.460,171.509,414.612
-1.278,-0.178,0.720,-2.625,171.448,438.538
-1.376,0.089,0.518,-0.610,164.673,459.167
-1.496,0.257,0.392,-2.197,152.649,474.304
-1.547,0.562,0.300,-8.728,137.390,483.215
-1.546,0.944,0.168,-5.920,121.460,490.662
-1.527,1.337,0.111,12.146,102.600,493.896
-1.492,1.807,0.105,29.785,77.515,485.718
-1.413,2.329,0.164,45.471,50.598,464.478
-1.394,2.727,0.279,66.345,27.893,428.406
-1.388,2.892,0.418,81.909,13.306,376.282
-1.418,2.814,0.532,87.097,9.644,314.819
-1.465,2.537,0.553,88.196,15.930,257.935
-1.418,2.169,0.475,88.440,28.015,218.079
-1.436,1.874,0.349,79.956,37.354,196.960
-1.465,1.710,0.236,63.293,39.307,191.589
-1.479,1.719,0.198,46.326,34.424,196.289
-1.482,1.867,0.216,33.386,25.513,203.674
-1.503,2.072,0.236,29.419,14.832,206.909
-1.542,2.296,0.286,32.776,3.906,200.867
-1.581,2.651,0.281,39.734,-5.310,184.509
-1.484,3.176,0.157,58.105,-12.024,160.278
-1.272,3.854,0.000,85.266,-20.752,124.756
-1.190,4.000,-0.115,107.117,-34.912,66.650
-1.268,4.000,-0.059,106.812,-54.260,-20.142
-1.372,4.000,0.069,78.247,-81.543,-129.639
-1.575,4.000,0.297,39.917,-104.370,-241.455
-1.875,3.710,0.516,10.498,-117.859,-339.844
-2.172,3.125,0.718,-7.568,-120.239,-419.678
-2.397,2.565,0.867,-22.278,-112.305,-481.873
-2.501,2.067,0.919,-28.137,-98.938,-527.161
-2.542,1.672,0.860,-22.400,-86.243,-559.326
-2.533,1.305,0.701,-0.488,-79.468,-579.895
-2.442,0.978,0.449,27.405,-80.200,-592.468
-2.295,0.728,0.230,42.725,-89.600,-599.731
-2.199,0.494,0.105,42.114,-108.032,-602.234
